statistical	statistikos
marble	marmuras
electric	elektrinis
stumble	suklupti
inevitable	neišvengiamas
industry	industrija
humanity	žmonija
kiss	pabučiuoti
minimum	minimumas
remote	nuotolinis
specialist	specialistas
category	kategorija
designer	dizaineris
lecture	paskaita
like	mėgti
those	tuos
honor	garbė
league	lygoje
politically	politiškai
statistics	statistinius duomenis
vehicle	transporto priemonė
inevitably	neišvengiamai
there	ten
settle down	įsikurti
glass	stiklas
pizza	pica
counseling	konsultavimas
servant	tarnas
anger	pyktis
afraid	išsigandęs
superior	pranašesnis
cow	karvė
exclude	neįtraukti
theory	teorija
grade	klasė
resource	ištekliai
darkness	tamsoje
top	viršuje
happen	atsitikti
range	diapazonas
shut	uždaryti
associate	bendradarbis
file	failas
keep off	neprileisti
reminder	priminimas
where	kur
must	turi
cycle	ciklas
nowhere	niekur
technique	technika
predict	numatyti
disturb	sutrikdyti
target	tiksas
foreign	užsienio
abroad	užsienyje
enough	pakankamai
get in	patekti
coalition	koalicija
finally	pagaliau
stream	srautas
gray	pilka
initial	pradinis
island	sala
physical	fizinis
ring up	paskambinti
closed	uždaryta
willingness	noras
pregnancy	nėštumas
translate	versti
skull	kaukolė
bunch	krūva
only	tik
design	dizainas
emission	emisija
single	vienas
mr	ponas
massive	masyvi
invitation	kvietimas
network	tinklas
detail	išsamiai
regret	apgailestauju
coordinate	koordinuoti
database	duomenų bazė
pace	tempas
implication	reikšmės
copy	kopija
congress	kongresas
reasonable	pagrįstas
expansion	plėtra
nutrient	maistinių medžiagų
formation	formavimas
get up	atsikelti
career	karjera
end	pabaiga
executive	vykdomasis
civilian	civilinis
call up	paprašyti
marketplace	rinkoje
calculate	apskaičiuoti
book	knyga
hall	salė
controversy	nesutarimai
estimated	apskaičiuota
bid	pasiūlymas
survive	išgyventi
assert	tvirtinti
chop up	susmulkinti
steam	garai
testimony	liudijimas
crowd	minia
finding	išvados
deliberately	tyčia
stem	stiebas
outdoor	lauke
invent	sugalvoti
rod	strypas
necessity	būtinybė
effectiveness	efektyvumas
backyard	galinis kiemas
chocolate	šokoladas
mostly	dažniausiai
promotion	skatinimas
novel	romanas
aware	žinoti
diabetes	diabetas
procedure	procedūra
hear	girdėti
failure	nesėkmė
post	paštas
evolution	evoliucija
gravity	gravitacija
winner	nugalėtojas
alley	alėja
rumor	gandas
crop	pasėliai
strong	stiprus
professor	profesorius
passage	ištrauka
car	automobilis
inspector	inspektorius
sit down	atsisėsti
increased	padidintas
narrow down	susiaurinti
corn	kukurūzai
farm	ūkis
gifted	talentingas
to	į
intense	intensyvus
garden	sodas
sheep	avių
flag	vėliava
agent	agentas
engineer	inžinierius
relatively	santykinai
funding	finansavimą
constant	pastovus
literary	literatūros
kit	rinkinys
argument	argumentas
bus	autobusas
disappear	išnyksta
judge	teisėjas
interior	interjeras
west	į vakarus
tired	pavargęs
station	stotis
scatter	išsklaidyti
line	linija
scare	panika
adequate	tinkamas
cognitive	pažinimo
reservation	rezervacija
tower	bokštas
worldwide	visame pasaulyje
theater	teatras
properly	tinkamai
truck	sunkvežimis
catch	sugauti
presumably	tikriausiai
behave	elgtis
corruption	korupcija
apology	atsiprašymas
fate	likimas
reward	atlygis
hole	skylė
outlet	lizdas
owe	skolingi
license	licencija
manager	vadybininkas
course	žinoma
withdrawal	pasitraukimas
tobacco	tabakas
defense	gynyba
projection	projekcija
brain	smegenys
platform	platforma
programming	programavimas
belief	tikėjimas
trick	triukas
development	vystymąsis
introduce	pristatyti
own	savo
yard	kiemas
hostile	priešiškas
environmental	aplinkosaugos
rational	racionalus
night	naktis
gesture	gestas
bombing	bombardavimas
artifact	artefaktas
concert	koncertas
diverse	įvairi
culture	kultūrą
immigration	imigracija
tray	padėklas
difficulty	sunkumas
spark	kibirkštis
student	studentas
soil	dirvožemis
mentally	protiškai
precise	tikslus
trip	kelionė
pause	pauzė
move out	išsikraustyti
similarly	panašiai
roll	ritinys
observer	stebėtojas
row	eilė
coast	pakrantė
ratio	santykis
sneak	sėlinti
greatest	didžiausias
writing	rašymas
insight	įžvalga
