I	jag
the	det
is	är
you	du
not	inte
to	att
one	en
and	och
has	har
we	vi
on	på
in	i
for	för
he	han
What	vad
with	med
me	mig
as	som
here	här
if	om
you	dig
where	var
the	den
so	så
to	till
can	kan
the	de
you	ni
should	ska
one	ett
but	men
of	av
wants	vill
now	nu
yes	ja
know	vet
No	nej
only	bara
she	hon
comes	kommer
how	hur
my	min
where	där
him	honom
makes	gör
came	kom
must	måste
your	din
would	skulle
then	då
Good	bra
when	när
have	ha
your	er
take	ta
out	ut
may	får
MAN	man
be	vara
U.S	oss
do	göra
them	dem
or	eller
why	varför
all	alla
from	från
okay	okej
up	upp
think	tror
again	igen
go	gå
thanks	tack
said	sa
had	hade
all	allt
in	in
to	sig
see	se
No	ingen
get	få
her	henne
a little	lite
very	mycket
who	vem
goes	går
looks	ser
my	mitt
Hello	hej
Never	aldrig
perhaps	kanske
need	behöver
are	finns
something	nåt
gets	blir
than	än
nothing	inget
after	efter
car	bli
something	något
The	ju
two	två
takes	tar
back	tillbaka
his	hans
over	över
says	säger
late	sen
give	ge
more	mer
your	ditt
did	gjorde
someone	någon
mine	mina
down	ner
at	åt
Damn	fan
well	väl
wait	vänta
also	också
got	fick
eachother	nån
say	säga
mr	mr
year	år
could	kunde
let '	låt
been	varit
this	detta
here	hit
probably	nog
dad	pappa
Other	andra
mother	mamma
whole	hela
against	mot
at	vid
know	känner
a few	några
come	komma
Right	rätt
should	borde
mean	menar
self	själv
eh	va
always	alltid
your	dina
Home	hem
done	gjort
wanted	ville
SAW	såg
judgment	dom
really	verkligen
look	titta
day	dag
without	utan
wrong	fel
three	tre
Certainly	visst
talk	prata
our	vår
life	liv
understand	förstår
way	sätt
took	tog
love	älskar
became	blev
hold	håll
kill	döda
time	tid
think	tycker
stop	sluta
thought	trodde
just	precis
say	säg
Sir	sir
away	bort
like	gillar
walk	gång
no	inga
God	gud
its	sin
thinking	tänker
include	hör
Know	veta
just	just
better	bättre
many	många
tell	berätta
went	gick
children	barn
help	hjälp
good	god
happens	händer
during	under
before	innan
knew	visste
seen	sett
completely	helt
people	folk
sorry	förlåt
money	pengar
death	död
help	hjälpa
please	snälla
first	första
excuse	ursäkta
sorry	ledsen
long	länge
fucking	jävla
where	vart
called	heter
hell	helvete
stay	stanna
her	hennes
which	vilken
stands	står
things	saker
Hello	hallå
still	fortfarande
away	borta
holding	håller
Father	far
Oh	åh
hand	hand
from	ur
Thing	sak
gives	ger
problem	problem
morning	morgon
even	ens
drive	kör
Friend	vän
our	våra
way	väg
only	enda
left	kvar
find	hitta
feel	mår
same	samma
way	vägen
name	namn
Evening	kväll
trying	försöker
out	ute
there	dit
nothing	ingenting
Other	annan
got	fått
very	väldigt
soon	snart
longer	längre
his	sitt
then	sedan
already	redan
happened	hände
wife	fru
talking	pratar
top	bästa
check	kolla
from here	härifrån
time	tiden
believe	tro
e	e
show	visa
Oh my God	herregud
final	slut
crap	skit
question	fråga
sounds	låter
great	stor
each	varje
yes	jo
meet	träffa
front	fram
era	era
first	först
their	deras
surely	säkert
go	åka
afraid	rädd
because	därför
leave	lämna
begins	börjar
Job	jobb
sure	säker
at	hos
five	fem
by	genom
figured	tänkte
small	liten
hope	hoppas
be able to	kunna
listen	lyssna
heard	hörde
Next	nästa
six	sex
be	ses
son	son
seems	verkar
life	livet
dollar	dollar
friends	vänner
last	sista
car	bilen
keep	hålla
speak	tala
while	tag
Other	annat
really	riktigt
die	dö
TRUE	sant
pass	klarar
gave	gav
their	sina
men	män
drag	dra
this	denna
which	vilket
Together	ihop
waiting	väntar
world	världen
minutes	minuter
new	nya
Darling	älskling
people	människor
hear	höra
today	idag
is located	ligger
until	tills
been	blivit
add	lägg
clear	klart
go	åker
four	fyra
home	hemma
mean	betyder
solid	fast
calmly	lugnt
part	del
preferably	helst
around	runt
retrieve	hämta
said	sagt
pipe	rör
large	stora
our	vårt
remember	minns
think	tänk
in	inne
small	lilla
otherwise	annars
Open	öppna
also	även
police	polisen
remember	ihåg
ok	ok
tour	tur
had	haft
found	hittade
woman	kvinna
equal	lika
play	spelar
badly	illa
still	ändå
alone	ensam
heard	hört
release	släpp
CASE	fall
stuff	sånt
time	gången
car	bil
almost	nästan
actually	faktiskt
night	natt
from	ifrån
beat	slå
far	långt
new	ny
the money	pengarna
later	senare
fun	kul
guy	killen
died	dog
start	börja
best	bäst
fast	fort
play	spela
against	emot
either	heller
ask	be
together	tillsammans
house	huset
House	hus
good	gott
guy	kille
place	plats
will	vilja
nice	trevligt
call	ringer
find	hittar
dr	dr
family	familj
done	klara
ready	redo
happened	hänt
which	vilka
PA	pa
ten	tio
seated	sitter
live	bor
work	jobbar
killed	dödade
door	dörren
Happy	glad
eat	äta
town	stan
old	gammal
make	fattar
silent	tyst
both	båda
chance	chans
art	mannen
these	dessa
tried	försökte
room	rum
think	tänka
old	gamla
feels	känns
your	ert
near	nära
gone	gått
would	vore
bell	klockan
couple	par
liver	lever
difficult	svårt
words	ord
days	dagar
away	iväg
yet	ännu
all	all
care	bryr
asks	ber
come	kommit
sometimes	ibland
Brother	bror
gladly	gärna
clear	klar
times	gånger
Mrs.	mrs
sound	låta
mother	mor
save	rädda
A	a
crazy	galen
worry	oroa
fine	fint
time	dags
hours	timmar
behind	bakom
call	ringa
dies	dör
between	mellan
captain	kapten
such a	sån
hurry	skynda
more	fler
guys	killar
l	l
food	mat
john	john
stop	stannar
at all	alls
arms	vapen
feel	känna
attempt	försök
stand	stå
live	leva
felt	kände
bone	ben
started	började
each other	varandra
daughter	dotter
work	jobbet
jack	jack
forget	glöm
ring	ring
shall	skall
through	igenom
up	uppe
own	egen
girl	flicka
anything	någonting
tonight	ikväll
day	dagen
sake	skull
enough	räcker
instead	stället
idiot	idiot
speaks	talar
women	kvinnor
Mr.	herr
quite	ganska
Sister	syster
was	fanns
put	sätta
find	reda
school	skolan
down	nere
New	new
Miss	miss
follow	följa
nice	fin
water	vatten
follows	följer
light	lätt
idea	idé
deal	handlar
fun	roligt
beautiful	vacker
try	försöka
call	kallar
Not	lnte
